gene	FASN_merge	ACACA	LDLR	SREBF1	SREBF2	C12orf49	qGI_FASN_a	qGI_FASN_b	qGI_FASN_c
SLCO4A1	-2.32058981893777	-0.608819778794909	-0.327187909518612	-0.305728822031926	0.0520916537728058	-0.111802135722242	-1.84245047181288	-2.49547688347036	-2.62384210153006
PGRMC2	-1.82938550042533	-0.62656358605545	-0.0806024027902958	-0.171871367923017	0.195761992867529	-0.0994064979339241	-1.77346408565037	-1.52793035416078	-1.84756845881621
LDLR	-1.71632096620912	-0.260939061948357	0.22319727838932	0.0713702996099318	-2.07096209996623	-1.47676024480896	-1.67157834957621	-1.38103611836541	-1.56167554316014
RABL3	-1.6607581557616	-0.401035201118167	-0.0654375728588818	0.0830748444470298	-0.23266062319401	-0.334299494659975	-1.54828803894943	-1.42576397586407	-1.10547956170842
C12orf49	-1.53809667036725	-0.862675618230985	0.308719863984722	0.312794488067294	-0.480688972773349	0.0287372420743597	-1.5304392024135	-1.57238626155452	-1.87944900331678
ACSL1	-1.48847896972164	-0.0978754211649016	-0.176486289506317	0.128282228029151	0.327725284638584	-0.805439912549974	-1.50012982043908	-1.15398125990971	-1.07628093203531
PAPSS1	-1.44113608987538	0.275657772073375	0.124187988479385	0.179496041120088	-1.81628101633747	0.346660102904658	-1.40609020461722	-0.993435067675473	-1.23977884591163
ARL1	-1.35984385884064	-0.190339245352378	-0.192987952004267	0.380137203325507	-0.657519869091912	-0.280266500539864	-1.40042963293618	-2.18805759867732	-1.89966926966248
LCMT1	-1.33823499836654	-0.414026505882551	-0.630853600225983	-0.051421341084689	0.205144074340829	-0.371978977070369	-1.34425224381188	-1.52769322432461	-0.850654575938769
INPP5K	-1.28476580226162	-0.164395314218317	0.165543904877981	-0.117660138370719	-0.132360859648561	-0.189102718013273	-1.32960451255568	-0.327531289602598	-1.20672517174149
SREBF2	-1.24346400412803	-0.513313315468915	-0.973098072344872	-1.94393134365588	-0.0500016238056882	-0.580590917438026	-1.31879709164395	-1.43410147174176	-0.830186137459093
MOGS	-1.24086668135842	-0.762344714689173	-0.291682399075359	-0.292984172388843	0.0177191215380729	-0.526991256232957	-1.31114031980413	-1.39336779845087	-1.61890015137114
LDLRAP1	-1.21310137273477	-0.0928288086211872	0.199181664470418	-0.154277037735776	-0.92779460457069	-0.0844567546010874	-1.26105543496126	-0.725445386751902	-0.510850935912548
JTB	-1.19436156694827	0.229746873881936	0.154446016153903	0.106893702505861	-0.45948683002984	0.103925000622692	-1.23943592126986	-1.20861722427308	-1.40624426124192
DOLPP1	-1.11934643692221	-0.346084992319519	-0.551258487900512	-0.00629360768389679	-0.145386419631854	-0.309484254781216	-1.14073385943476	-0.574487670645126	-0.249025742412505
TPK1	-1.11541355533029	0.0333020503478524	-0.318435889704362	-0.0210481541915968	-0.231367096644312	0.246982764202754	-1.11374713841648	-1.29307248199377	-0.951219690356375
RAB18	-1.11430957843044	0.535768805576187	0.586605441517741	-0.140344667419656	-0.483891034992722	-0.52549930149908	-1.08424069441852	-1.42428274823111	-1.9569134665153
ALG9	-1.1023832975072	0.0182159710451871	-0.661174316595166	-0.0160134151730741	0.25599396114593	0.154621742839124	-1.07787005926921	-1.35505681643214	-0.725109069984647
ALG12	-1.09938075512688	0.344615323659416	-0.650760023822746	-0.320822693321184	0.137407513591955	-0.337143888657661	-1.06317191399328	-0.204277569394572	-0.103347155817745
MBTPS2	-1.07526434704946	-0.529470602142299	-0.936700581486985	-1.18600836240933	-0.709755140772457	-0.761804931953736	-1.05072713916134	-1.08798023418553	-1.20422136194446
INPP4A	-1.05736912361055	-0.31510994006771	-0.794567477123499	-0.345974531453474	-0.547440453515463	-0.0329670564913796	-1.03269040317971	-0.370604855922299	0.414354268606903
KCTD5	-1.052678648562	-0.200973322206237	-0.444103116351466	-0.0561345848413634	0.505422392898825	-0.209491954448899	-1.02616455466718	-1.19100056476427	-0.715296419981694
SAR1A	-1.03711685388125	-0.377028875127636	-0.67910380802993	-0.152502149341507	-0.106281054211477	0.55121577116174	-1.02391564118394	-1.15538383304263	-0.821860833819064
E2F7	-1.01240553652576	-0.410442143985832	-0.735154432390066	-0.0426802159254638	-0.105995345227449	0.33691507278374	-1.02222259724257	-0.355617790683909	-0.79695258083869
ACSL3	-1.00038676934855	-0.18883001487978	-0.447033475147425	-0.07077713853116	0.063092017268739	-0.317723861087825	-1.00504737430727	-0.932437475017281	-0.702187038758633
SLC39A9	-0.994439635261288	-0.0149088835391563	-0.259535529045964	0.165419577158687	-0.283198561620156	0.331559364185356	-1.00066853244228	-0.507279936502152	-0.743986363890152
ALG3	-0.991391386969641	-0.380194641876435	-0.861504667502364	-0.203713614811847	0.195823634013128	-0.926810146276412	-0.985829062612808	-0.482892497303503	-0.678436906269904
TM9SF3	-0.977487179804384	0.147968014849593	-0.284172610428838	-0.167125397158267	0.053021492910666	-0.170586557769989	-0.973856403028841	-0.58570675436384	0.0187441244754363
PRUNE	-0.954620324633256	-0.457499743616583	-0.262401211838654	0.0370690520610771	0.0619803840020881	-0.42309944604721	-0.971572100162407	-1.46659110083078	-1.57654179410643
MPDU1	-0.953835437760455	-0.505846005799469	-0.425534075077039	-0.227565791232497	0.257672169349692	-0.0897958245636941	-0.962970386052434	-1.18110735387955	-1.16307215258961
CNOT2	-0.949531224283791	-0.227983835626075	0.0857674476804419	-0.523335625610411	0.170430203279389	-0.000813353502770578	-0.962795382977927	-0.661766381506212	-1.01915217354383
MON2	-0.945929414578034	0.0715492732269171	-0.505742451312303	-0.303340282444852	-0.444735001975336	0.224254997002369	-0.951129985376918	-0.864529209238365	-0.999669996844591
PHF12	-0.943363150738568	0.127463352334401	0.910298057911321	0.305923474071715	-0.281652888972325	-0.592659955066651	-0.947694278658632	-0.377040604667416	-0.754351904962904
WDR83OS	-0.938443063819958	-0.271768699908987	0.191407907949072	-0.325649370447831	-0.0859094735394445	0.136502504943844	-0.936673479789156	-1.05031254278342	-0.34645818361446
MTF2	-0.930914601098991	0.318093101443158	-1.02206151717505	-0.292801637612832	0.464865423327057	-0.488638530043985	-0.927487426749917	-1.3261982361454	-0.857664898748448
SMARCD1	-0.909713239940856	-0.339144641351603	0.542704103867391	0.316570611844978	-0.0590613389745974	-0.161161680475527	-0.918709396899224	-0.88992836279075	-1.41715528145842
MBTD1	-0.88219632112518	-0.760540949599735	-0.841427681644179	-0.323402619268554	-0.137500258054187	-0.483980203896755	-0.915104596285664	-0.336452081870839	0.0570366161773163
ASPM	-0.881237979342657	-0.430526670606527	-0.233820724663406	0.0664890555095012	0.097143922545145	0.176269757244814	-0.91162050639535	-0.550345456892623	-0.0934223093244645
PTAR1	-0.879890629361061	-0.0785352599774994	0.048021561583405	-0.260518706381317	-0.468449407253479	-0.643853060579466	-0.907307513110933	-0.797189682424185	0.305594008596359
SLC33A1	-0.860431246328432	-0.605428147148236	-0.364569265665435	-0.355048705751289	0.134599698499721	0.237827536193121	-0.904343495250686	-0.782912398356966	-0.58197658624005
BRD9	-0.854041854853558	-0.118576790977889	0.277986724631496	0.0606693107242064	0.455222776332859	0.0630261088958884	-0.902475391940014	-0.420807186331313	0.17730788216464
ALDH18A1	-0.852457025070579	-0.429234155361127	0.0571002102886953	0.371246924714964	-0.485935912241312	-0.00681571389655979	-0.89743523201392	-0.318500029236728	-0.214457186438509
TSC1	-0.851888565855702	0.106261225415382	0.0615503890910406	-0.675470510012716	0.476751984666594	-0.335917841375152	-0.891273631555946	-0.939868465492778	-0.750151641936573
SGPL1	-0.849842583760557	-0.217650731233165	-0.125871579201348	0.0370923882130335	0.276626239761393	0.177724026835406	-0.890603378430013	-0.88817550394262	-0.160311580316911
DBF4	-0.849563358154196	-0.0391343787167279	-0.243140894002234	-0.325873174975813	-0.491246671958713	0.239519118341665	-0.889491039359823	-1.1235965243529	-0.970231342071135
BAG6	-0.846133179218148	-0.555638616089657	-0.658607325304129	-0.125120006486322	0.199442720999178	0.417142855425808	-0.88512993060515	-0.308353045548778	-0.480833992085659
ALDH3A2	-0.845700718742125	0.103111480462463	0.0872482805137835	-0.113082272487431	-0.204224118912946	0.115642561576217	-0.884161181371786	-0.312525319880552	-0.933888177938403
INPPL1	-0.843557206038949	-0.0168833136520452	-0.449508148361939	-0.044564696688133	0.224599661063488	-0.102596659455805	-0.873890531854063	-1.15860544157626	-0.941678187478605
RAB3GAP2	-0.832450585875237	-0.679702132293873	-0.0764255823087173	-0.271654818327462	-0.654631605045811	-1.21530762063412	-0.870838869755343	-0.0853100891400801	-0.429625809152539
PPHLN1	-0.826302760715553	-0.7213064836001	-0.460195541942868	-0.128614954669712	-0.165657294126673	0.341225100699012	-0.869508878941317	-0.562596152657654	-1.39798442061673
ZSWIM6	-0.822288988011349	-0.265997464650241	-0.465579671935024	-0.0399599372087693	-0.470304204317801	0.0447479956420368	-0.867253065197476	-0.618387107788251	-0.267312090188915
DOT1L	-0.819102624721685	0.252562171104907	0.315097840287537	0.0346823861694656	0.190421685792586	0.0716078133419935	-0.866004836132174	-0.432838471815537	-0.116128264116759
TSC2	-0.813877295257587	0.264577374298868	0.198905797531335	-0.871890107075941	0.425159608010938	-0.256299071622998	-0.865309807404921	-0.46955577954223	-0.31255222854049
RBM7	-0.809320486723447	-0.324053463082624	0.161489080106768	-0.273818869214516	-0.110757062730816	-0.86667441989	-0.851652883734458	-0.109454645220913	0.630539366923686
MCM8	-0.799108790556891	-0.274723040531657	-0.545505467005497	-0.163934616870998	0.605928012876645	-0.059001665613777	-0.851047534541433	-1.02598036433233	-0.984478414407606
EAF1	-0.79753806865768	0.295996110827082	0.179570899365178	-0.103432894258371	-0.677408024420734	-0.0289813086389157	-0.848918594326802	-0.841025787454864	-0.203461685703789
CAPN15	-0.794385449550891	0.00838279472852202	-0.189230560340466	-0.124460041514448	-0.108351830463736	0.115366239857511	-0.846850718821884	-1.02016804196437	-0.970769482947845
CEPT1	-0.790664425048519	-0.136167384790838	0.229159611109869	0.311488634212545	0.213313393124448	-0.241407225820703	-0.835373527760883	0.0535527394486867	-0.256145540592332
ZFX	-0.787009029821747	-0.310962224340603	-0.0281278143095843	0.0330343934951806	0.414558635931236	-0.969218012617425	-0.834330666540196	-0.680380676295745	-1.03481640844573
FIBP	-0.779043987349507	-0.0615762669160683	-0.986129787498373	-0.180912416902044	0.100774788657062	0.156751333918558	-0.831398466289694	-0.449962918517338	-0.434392943192361
MAP4K4	-0.777814735395677	-0.719843889709313	-0.147953660523638	-0.215622186377323	-0.348612871229956	0.1655556105194	-0.830731264021671	-0.849307929720298	-0.717287177928704
GTPBP2	-0.774737429690368	-0.0844343327093269	-0.764706323889051	0.202840976316141	0.307000351811609	0.183648743374716	-0.830349749440789	-0.909993584614172	-0.48122457107663
SMPD1	-0.771997644347178	-0.168771417903572	-0.00951433545318837	0.243221413923261	0.0256064256121762	-0.0174882606041436	-0.820566237357343	0.101195804926347	-0.268347227917122
ILF3	-0.761007313436103	-0.381792602983208	-0.38701686025763	-0.506266422174118	-0.24567391557952	-0.422435615588733	-0.818132918210808	-0.213293745836561	0.107358507954909
SCAP	-0.756410826615901	-0.491340746738826	-0.40422375673819	0.0873492295233809	-0.458203119120324	-0.403001971159477	-0.816962197783877	-0.560947060137596	-0.399081821062159
NIPBL	-0.751927069502222	0.28844255058162	0.140941982237418	0.315143162588875	0.2931646742835	0.165453848943503	-0.813238978409175	-0.73033189520717	-0.586782268208505
USP14	-0.750644944278194	0.0178725135058177	1.45677305974389	0.257591839613814	0.397558675738833	0.18258365268226	-0.809203813561937	-0.705673622843821	-0.964030845740901
