Enriched.GO.IDs	Enriched.GO.names	Network.Region.name	ORF.ID	Gene.ID
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YJL190C	RPS22A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YHL033C	RPL8A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YBR101C	FES1
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YOL040C	RPS15
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YLR325C	RPL38
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YBR079C	RPG1
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YJL189W	RPL39
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YCR031C	RPS14A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YLR262C-A	TMA7
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YOR096W	RPS7A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YFL034C-A	RPL22B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	tS(UGA)I	SUP17
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YNL096C	RPS7B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YML063W	RPS1B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YML026C	RPS18B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	tS(UGA)E	SUP19
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YIL018W	RPL2B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YER117W	RPL23B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDR064W	RPS13
GO:0002181	cytoplasmic translation	Ribosome biogenesis	RDN5-6	RDN5-6
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YLR029C	RPL15A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YOR167C	RPS28A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGR085C	RPL11B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDL133C-A	RPL41B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDR152W	GIR2
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YHR203C	RPS4B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	RDN5-2	RDN5-2
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGR027C	RPS25A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YPL131W	RPL5
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YER017C	AFG3
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YOR312C	RPL20B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YIL137C	TMA108
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YHR141C	RPL42B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDR429C	TIF35
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YKL056C	TMA19
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YNL209W	SSB2
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDR447C	RPS17B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGL103W	RPL28
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YNL069C	RPL16B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGR214W	RPS0A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YMR194W	RPL36A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDR450W	RPS18A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YOL120C	RPL18A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YLR367W	RPS22B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YPR041W	TIF5
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YER074W	RPS24A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YCL037C	SRO9
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YLR167W	RPS31
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YML091C	RPM2
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGL135W	RPL1B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YML024W	RPS17A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YHR021C	RPS27B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGR173W	RBG2
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YJL177W	RPL17B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YOL127W	RPL25
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YBR261C	TAE1
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YPR043W	RPL43A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YOR063W	RPL3
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YNL067W	RPL9B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YIL148W	RPL40A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YBR181C	RPS6B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGL076C	RPL7A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YAL036C	RBG1
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YHL015W	RPS20
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YIL069C	RPS24B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YPR163C	TIF3
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YAL005C	SSA1
GO:0002181	cytoplasmic translation	Ribosome biogenesis	RDN5-4	RDN5-4
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGL031C	RPL24A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YBR191W	RPL21A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDR025W	RPS11A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YBR061C	TRM7
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YMR012W	CLU1
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YHR168W	MTG2
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YBR031W	RPL4A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YPR102C	RPL11A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YGR148C	RPL24B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YER131W	RPS26B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YLR388W	RPS29A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDR328C	SKP1
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YNL301C	RPL18B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YOR182C	RPS30B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	RDN18-2	RDN18-2
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YDL061C	RPS29B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	RDN5-1	RDN5-1
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YKL156W	RPS27A
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YMR121C	RPL15B
GO:0002181	cytoplasmic translation	Ribosome biogenesis	YLR340W	RPP0
